# RDT Density Profile for M = 1.4 M_sun
# EOS: SLy4, α = 0.3
# M_total = 1.400000 M_sun
# R_total = 13.638666 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
8.172668e+00 2.040518e+34 5.342404e-01 3.486632e+14
8.199998e+00 2.025808e+34 5.387066e-01 3.476361e+14
8.227328e+00 2.011099e+34 5.431874e-01 3.466045e+14
8.254658e+00 1.996392e+34 5.476828e-01 3.455684e+14
8.281988e+00 1.981687e+34 5.521925e-01 3.445278e+14
8.309318e+00 1.966984e+34 5.567165e-01 3.434826e+14
8.336648e+00 1.952285e+34 5.612545e-01 3.424328e+14
8.363978e+00 1.937590e+34 5.658065e-01 3.413785e+14
8.391308e+00 1.922898e+34 5.703721e-01 3.403195e+14
8.418638e+00 1.908211e+34 5.749514e-01 3.392558e+14
8.445968e+00 1.893529e+34 5.795440e-01 3.381875e+14
8.473298e+00 1.878852e+34 5.841499e-01 3.371145e+14
8.500628e+00 1.864181e+34 5.887687e-01 3.360367e+14
8.527958e+00 1.849516e+34 5.934005e-01 3.349542e+14
8.555288e+00 1.834858e+34 5.980450e-01 3.338670e+14
8.582618e+00 1.820207e+34 6.027019e-01 3.327749e+14
8.609948e+00 1.805564e+34 6.073712e-01 3.316779e+14
8.637278e+00 1.790929e+34 6.120526e-01 3.305762e+14
8.664608e+00 1.776302e+34 6.167459e-01 3.294695e+14
8.691938e+00 1.761684e+34 6.214510e-01 3.283579e+14
8.719268e+00 1.747075e+34 6.261676e-01 3.272414e+14
8.746598e+00 1.732476e+34 6.308956e-01 3.261198e+14
8.773928e+00 1.717888e+34 6.356347e-01 3.249933e+14
8.801258e+00 1.703310e+34 6.403848e-01 3.238617e+14
8.828588e+00 1.688743e+34 6.451457e-01 3.227251e+14
8.855918e+00 1.674188e+34 6.499170e-01 3.215833e+14
8.883248e+00 1.659645e+34 6.546987e-01 3.204364e+14
8.910578e+00 1.645114e+34 6.594906e-01 3.192843e+14
8.937908e+00 1.630596e+34 6.642923e-01 3.181270e+14
8.965238e+00 1.616092e+34 6.691037e-01 3.169645e+14
8.992568e+00 1.601602e+34 6.739245e-01 3.157967e+14
9.019898e+00 1.587126e+34 6.787546e-01 3.146235e+14
9.047228e+00 1.572664e+34 6.835937e-01 3.134450e+14
9.074558e+00 1.558218e+34 6.884415e-01 3.122611e+14
9.101888e+00 1.543787e+34 6.932979e-01 3.110718e+14
9.129218e+00 1.529373e+34 6.981626e-01 3.098769e+14
