# GR Density Profile for M = 1.4 M_sun
# EOS: SLy4
# M_total = 1.400000 M_sun
# R_total = 13.373536 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
9.407333e+00 1.386783e+34 8.044928e-01 2.976676e+14
9.434132e+00 1.370689e+34 8.093405e-01 2.962421e+14
9.460930e+00 1.354677e+34 8.141897e-01 2.948138e+14
9.487729e+00 1.338747e+34 8.190402e-01 2.933825e+14
9.514528e+00 1.322900e+34 8.238918e-01 2.919483e+14
9.541326e+00 1.307137e+34 8.287442e-01 2.905112e+14
9.568125e+00 1.291457e+34 8.335973e-01 2.890712e+14
9.594924e+00 1.275861e+34 8.384506e-01 2.876283e+14
9.621722e+00 1.260350e+34 8.433041e-01 2.861825e+14
9.648521e+00 1.244924e+34 8.481573e-01 2.847339e+14
9.675320e+00 1.229584e+34 8.530102e-01 2.832824e+14
9.702118e+00 1.214329e+34 8.578625e-01 2.818280e+14
9.728917e+00 1.199161e+34 8.627138e-01 2.803707e+14
9.755716e+00 1.184079e+34 8.675640e-01 2.789106e+14
9.782514e+00 1.169084e+34 8.724128e-01 2.774476e+14
9.809313e+00 1.154177e+34 8.772599e-01 2.759817e+14
9.836112e+00 1.139357e+34 8.821051e-01 2.745131e+14
9.862910e+00 1.124626e+34 8.869481e-01 2.730416e+14
9.889709e+00 1.109983e+34 8.917886e-01 2.715672e+14
9.916508e+00 1.095430e+34 8.966265e-01 2.700900e+14
9.943306e+00 1.080965e+34 9.014614e-01 2.686100e+14
9.970105e+00 1.066590e+34 9.062930e-01 2.671272e+14
9.996904e+00 1.052305e+34 9.111212e-01 2.656415e+14
1.002370e+01 1.038111e+34 9.159456e-01 2.641530e+14
1.005050e+01 1.024007e+34 9.207660e-01 2.626618e+14
1.007730e+01 1.009994e+34 9.255821e-01 2.611677e+14
1.010410e+01 9.960722e+33 9.303936e-01 2.596708e+14
1.013090e+01 9.822422e+33 9.352002e-01 2.581711e+14
1.015770e+01 9.685040e+33 9.400018e-01 2.566686e+14
1.018449e+01 9.548581e+33 9.447979e-01 2.551633e+14
1.021129e+01 9.413048e+33 9.495884e-01 2.536552e+14
1.023809e+01 9.278442e+33 9.543729e-01 2.521443e+14
1.026489e+01 9.144768e+33 9.591512e-01 2.506307e+14
1.029169e+01 9.012027e+33 9.639230e-01 2.491142e+14
1.031849e+01 8.880222e+33 9.686879e-01 2.475950e+14
1.034529e+01 8.749357e+33 9.734458e-01 2.460730e+14
